tracker;day;work_start_date;work_start_hour;work_finish_date;work_finish_hour
Forklift 186 T1;28 December Wednesday;28.12.2022;00:00;28.12.2022;23:59
Forklift 186 T1;29 December Thursday;29.12.2022;00:00;29.12.2022;16:06
Forklift 186 T1;30 December Friday;30.12.2022;07:09;30.12.2022;23:59
Forklift 186 T1;31 December Saturday;31.12.2022;00:00;31.12.2022;23:59
Forklift 28 T2;1 January Sunday;01.01.2023;06:23;01.01.2023;23:59
Forklift 28 T2;2 January Monday;02.01.2023;00:00;02.01.2023;23:58
Forklift 28 T2;3 January Tuesday;03.01.2023;00:00;03.01.2023;23:53
Forklift 28 T2;4 January Wednesday;04.01.2023;00:17;04.01.2023;23:59
Forklift 28 T2;5 January Thursday;05.01.2023;00:00;05.01.2023;23:59
Forklift 28 T2;6 January Friday;06.01.2023;00:00;06.01.2023;23:59
Forklift 28 T2;7 January Saturday;07.01.2023;00:02;07.01.2023;23:59
Forklift 28 T2;8 January Sunday;08.01.2023;00:00;08.01.2023;23:59
Forklift 28 T2;9 January Monday;09.01.2023;00:00;09.01.2023;23:59
Forklift 28 T2;10 January Tuesday;10.01.2023;00:00;10.01.2023;23:59
Forklift 28 T2;11 January Wednesday;11.01.2023;00:00;11.01.2023;23:59
Forklift 28 T2;12 January Thursday;12.01.2023;00:00;12.01.2023;23:59
Forklift 28 T2;13 January Friday;13.01.2023;00:00;13.01.2023;23:48
Forklift 28 T2;14 January Saturday;14.01.2023;00:00;14.01.2023;23:59
Forklift 28 T2;15 January Sunday;15.01.2023;00:00;15.01.2023;23:59
Forklift 28 T2;16 January Monday;16.01.2023;00:00;16.01.2023;23:59
Forklift 28 T2;17 January Tuesday;17.01.2023;00:00;17.01.2023;23:58
Forklift 28 T2;18 January Wednesday;18.01.2023;00:00;18.01.2023;23:59
Forklift 28 T2;19 January Thursday;19.01.2023;00:00;19.01.2023;23:59
Forklift 28 T2;20 January Friday;20.01.2023;00:00;20.01.2023;23:59
Forklift 28 T2;21 January Saturday;21.01.2023;00:00;21.01.2023;23:59
Forklift 28 T2;22 January Sunday;22.01.2023;00:00;22.01.2023;23:59
Forklift 28 T2;23 January Monday;23.01.2023;00:00;23.01.2023;23:59
Forklift 28 T2;24 January Tuesday;24.01.2023;00:00;24.01.2023;23:59
Forklift 28 T2;25 January Wednesday;25.01.2023;00:00;25.01.2023;23:59
Forklift 28 T2;26 January Thursday;26.01.2023;00:00;26.01.2023;23:56
Forklift 28 T2;27 January Friday;27.01.2023;00:02;27.01.2023;23:57
Forklift 28 T2;28 January Saturday;28.01.2023;00:01;28.01.2023;23:59
Forklift 28 T2;29 January Sunday;29.01.2023;00:01;29.01.2023;23:54
Forklift 28 T2;30 January Monday;30.01.2023;00:00;30.01.2023;23:59
Forklift 28 T2;31 January Tuesday;31.01.2023;00:00;31.01.2023;23:59
Forklift 98 T5;1 January Sunday;01.01.2023;00:00;01.01.2023;23:59
Forklift 98 T5;2 January Monday;02.01.2023;00:00;02.01.2023;23:59
Forklift 98 T5;3 January Tuesday;03.01.2023;00:00;03.01.2023;23:59
Forklift 98 T5;4 January Wednesday;04.01.2023;00:00;04.01.2023;23:59
Forklift 98 T5;5 January Thursday;05.01.2023;00:00;05.01.2023;23:59
Forklift 98 T5;6 January Friday;06.01.2023;00:00;06.01.2023;23:59
Forklift 98 T5;7 January Saturday;07.01.2023;00:00;07.01.2023;23:59
Forklift 98 T5;8 January Sunday;08.01.2023;00:00;08.01.2023;23:59
Forklift 98 T5;9 January Monday;09.01.2023;00:00;09.01.2023;21:44
Forklift 98 T5;10 January Tuesday;10.01.2023;03:15;10.01.2023;23:59
Forklift 98 T5;11 January Wednesday;11.01.2023;00:00;11.01.2023;23:59
Forklift 98 T5;12 January Thursday;12.01.2023;00:00;12.01.2023;20:59
Forklift 98 T5;13 January Friday;13.01.2023;10:19;13.01.2023;23:59
Forklift 98 T5;14 January Saturday;14.01.2023;00:00;14.01.2023;23:59
Forklift 98 T5;15 January Sunday;15.01.2023;00:00;15.01.2023;23:59
Forklift 98 T5;16 January Monday;16.01.2023;00:00;16.01.2023;23:59
Forklift 98 T5;17 January Tuesday;17.01.2023;00:00;17.01.2023;23:58
Forklift 98 T5;18 January Wednesday;18.01.2023;00:01;18.01.2023;23:59
Forklift 98 T5;19 January Thursday;19.01.2023;00:00;19.01.2023;23:59
Forklift 98 T5;20 January Friday;20.01.2023;00:00;20.01.2023;23:58
Forklift 98 T5;21 January Saturday;21.01.2023;00:05;21.01.2023;23:59
Forklift 98 T5;22 January Sunday;22.01.2023;00:00;22.01.2023;23:59
Forklift 98 T5;23 January Monday;23.01.2023;00:00;23.01.2023;23:59
Forklift 98 T5;24 January Tuesday;24.01.2023;00:00;24.01.2023;23:59
Forklift 98 T5;25 January Wednesday;25.01.2023;00:00;25.01.2023;23:59
Forklift 98 T5;26 January Thursday;26.01.2023;00:00;26.01.2023;23:59
Forklift 98 T5;27 January Friday;27.01.2023;00:00;27.01.2023;23:59
Forklift 98 T5;28 January Saturday;28.01.2023;00:03;28.01.2023;23:59
Forklift 98 T5;29 January Sunday;29.01.2023;00:00;29.01.2023;23:59
Forklift 98 T5;30 January Monday;30.01.2023;00:00;30.01.2023;23:59
Forklift 98 T5;31 January Tuesday;31.01.2023;00:00;31.01.2023;23:56
Forklift 107 T6;11 January Wednesday;11.01.2023;21:40;11.01.2023;23:58
Forklift 107 T6;12 January Thursday;12.01.2023;00:03;12.01.2023;23:59
Forklift 107 T6;13 January Friday;13.01.2023;00:00;13.01.2023;23:59
Forklift 107 T6;14 January Saturday;14.01.2023;00:00;14.01.2023;23:59
Forklift 107 T6;15 January Sunday;15.01.2023;00:00;15.01.2023;23:58
Forklift 107 T6;16 January Monday;16.01.2023;00:00;16.01.2023;23:59
Forklift 107 T6;17 January Tuesday;17.01.2023;00:00;17.01.2023;23:53
Forklift 107 T6;18 January Wednesday;18.01.2023;00:12;18.01.2023;23:59
Forklift 107 T6;19 January Thursday;19.01.2023;00:00;19.01.2023;23:52
Forklift 107 T6;20 January Friday;20.01.2023;00:03;20.01.2023;23:59
Forklift 107 T6;21 January Saturday;21.01.2023;00:00;21.01.2023;23:59
Forklift 107 T6;22 January Sunday;22.01.2023;00:00;22.01.2023;23:50
Forklift 107 T6;23 January Monday;23.01.2023;00:00;23.01.2023;20:03
Forklift 107 T6;24 January Tuesday;24.01.2023;14:24;24.01.2023;23:59
Forklift 107 T6;25 January Wednesday;25.01.2023;00:00;25.01.2023;23:58
Forklift 107 T6;26 January Thursday;26.01.2023;00:01;26.01.2023;23:59
Forklift 107 T6;27 January Friday;27.01.2023;00:00;27.01.2023;23:59
Forklift 107 T6;28 January Saturday;28.01.2023;00:00;28.01.2023;23:42
Forklift 107 T6;29 January Sunday;29.01.2023;00:15;29.01.2023;23:46
Forklift 107 T6;30 January Monday;30.01.2023;00:15;30.01.2023;23:43
Forklift 107 T6;31 January Tuesday;31.01.2023;00:15;31.01.2023;23:51
Forklift 125 T4;1 January Sunday;01.01.2023;09:25;01.01.2023;23:22
Forklift 125 T4;2 January Monday;02.01.2023;00:23;02.01.2023;23:53
Forklift 125 T4;3 January Tuesday;03.01.2023;00:05;03.01.2023;23:59
Forklift 125 T4;4 January Wednesday;04.01.2023;00:00;04.01.2023;23:59
Forklift 125 T4;5 January Thursday;05.01.2023;00:00;05.01.2023;23:59
Forklift 125 T4;6 January Friday;06.01.2023;00:00;06.01.2023;23:59
Forklift 125 T4;7 January Saturday;07.01.2023;00:00;07.01.2023;23:59
Forklift 125 T4;8 January Sunday;08.01.2023;00:00;08.01.2023;23:59
Forklift 125 T4;9 January Monday;09.01.2023;00:00;09.01.2023;23:59
Forklift 125 T4;10 January Tuesday;10.01.2023;00:00;10.01.2023;23:59
Forklift 125 T4;11 January Wednesday;11.01.2023;00:00;11.01.2023;23:59
Forklift 125 T4;12 January Thursday;12.01.2023;00:00;12.01.2023;23:59
Forklift 125 T4;13 January Friday;13.01.2023;00:00;13.01.2023;23:57
Forklift 125 T4;14 January Saturday;14.01.2023;00:48;14.01.2023;12:22
Forklift 125 T4;17 January Tuesday;17.01.2023;17:25;17.01.2023;17:25
Forklift 125 T4;23 January Monday;23.01.2023;17:50;23.01.2023;23:59
Forklift 125 T4;24 January Tuesday;24.01.2023;00:02;24.01.2023;09:51
Forklift 125 T4;25 January Wednesday;25.01.2023;12:28;25.01.2023;23:58
Forklift 125 T4;26 January Thursday;26.01.2023;00:01;26.01.2023;23:01
Forklift 125 T4;27 January Friday;27.01.2023;00:11;27.01.2023;23:59
Forklift 125 T4;28 January Saturday;28.01.2023;00:00;28.01.2023;23:59
Forklift 125 T4;29 January Sunday;29.01.2023;00:00;29.01.2023;23:51
Forklift 125 T4;30 January Monday;30.01.2023;00:16;30.01.2023;23:59
Forklift 125 T4;31 January Tuesday;31.01.2023;00:00;31.01.2023;23:48
Forklift 185 T3;1 January Sunday;01.01.2023;00:30;01.01.2023;23:59
Forklift 185 T3;2 January Monday;02.01.2023;00:00;02.01.2023;23:57
Forklift 185 T3;3 January Tuesday;03.01.2023;00:02;03.01.2023;23:58
Forklift 185 T3;4 January Wednesday;04.01.2023;00:03;04.01.2023;23:58
Forklift 185 T3;5 January Thursday;05.01.2023;00:11;05.01.2023;23:58
Forklift 185 T3;6 January Friday;06.01.2023;00:00;06.01.2023;23:59
Forklift 185 T3;7 January Saturday;07.01.2023;00:01;07.01.2023;23:59
Forklift 185 T3;8 January Sunday;08.01.2023;00:04;08.01.2023;23:59
Forklift 185 T3;9 January Monday;09.01.2023;00:00;09.01.2023;23:59
Forklift 185 T3;10 January Tuesday;10.01.2023;00:00;10.01.2023;23:55
Forklift 185 T3;11 January Wednesday;11.01.2023;00:07;11.01.2023;23:57
Forklift 185 T3;12 January Thursday;12.01.2023;00:10;12.01.2023;23:58
Forklift 185 T3;13 January Friday;13.01.2023;00:02;13.01.2023;23:58
Forklift 185 T3;14 January Saturday;14.01.2023;00:00;14.01.2023;23:59
Forklift 185 T3;15 January Sunday;15.01.2023;00:09;15.01.2023;23:59
Forklift 185 T3;16 January Monday;16.01.2023;00:00;16.01.2023;23:59
Forklift 185 T3;17 January Tuesday;17.01.2023;00:00;17.01.2023;23:52
Forklift 185 T3;18 January Wednesday;18.01.2023;00:00;18.01.2023;23:58
Forklift 185 T3;19 January Thursday;19.01.2023;00:00;19.01.2023;23:59
Forklift 185 T3;20 January Friday;20.01.2023;00:21;20.01.2023;23:59
Forklift 185 T3;21 January Saturday;21.01.2023;00:00;21.01.2023;23:58
Forklift 185 T3;22 January Sunday;22.01.2023;00:00;22.01.2023;23:59
Forklift 185 T3;23 January Monday;23.01.2023;00:02;23.01.2023;23:56
Forklift 185 T3;24 January Tuesday;24.01.2023;00:10;24.01.2023;23:57
Forklift 185 T3;25 January Wednesday;25.01.2023;00:05;25.01.2023;23:59
Forklift 185 T3;26 January Thursday;26.01.2023;00:01;26.01.2023;23:58
Forklift 185 T3;27 January Friday;27.01.2023;00:02;27.01.2023;23:55
Forklift 185 T3;28 January Saturday;28.01.2023;00:12;28.01.2023;23:56
Forklift 185 T3;29 January Sunday;29.01.2023;00:01;29.01.2023;23:53
Forklift 185 T3;30 January Monday;30.01.2023;00:11;30.01.2023;23:59
Forklift 185 T3;31 January Tuesday;31.01.2023;00:00;31.01.2023;23:58
Forklift 186 T1;1 January Sunday;01.01.2023;00:00;01.01.2023;23:59
Forklift 186 T1;2 January Monday;02.01.2023;00:02;02.01.2023;23:59
Forklift 186 T1;3 January Tuesday;03.01.2023;00:00;03.01.2023;23:59
Forklift 186 T1;4 January Wednesday;04.01.2023;00:00;04.01.2023;23:59
Forklift 186 T1;5 January Thursday;05.01.2023;00:00;05.01.2023;23:59
Forklift 186 T1;6 January Friday;06.01.2023;00:00;06.01.2023;23:59
Forklift 186 T1;7 January Saturday;07.01.2023;00:01;07.01.2023;23:59
Forklift 186 T1;8 January Sunday;08.01.2023;00:00;08.01.2023;23:59
Forklift 186 T1;9 January Monday;09.01.2023;00:00;09.01.2023;23:59
Forklift 186 T1;10 January Tuesday;10.01.2023;00:00;10.01.2023;23:59
Forklift 186 T1;11 January Wednesday;11.01.2023;00:00;11.01.2023;23:59
Forklift 186 T1;12 January Thursday;12.01.2023;00:00;12.01.2023;13:36
Forklift 186 T1;13 January Friday;13.01.2023;07:18;13.01.2023;23:59
Forklift 186 T1;14 January Saturday;14.01.2023;00:00;14.01.2023;23:59
Forklift 186 T1;15 January Sunday;15.01.2023;00:00;15.01.2023;23:59
Forklift 186 T1;16 January Monday;16.01.2023;00:00;16.01.2023;23:59
Forklift 186 T1;17 January Tuesday;17.01.2023;00:00;17.01.2023;23:53
Forklift 186 T1;18 January Wednesday;18.01.2023;00:03;18.01.2023;23:59
Forklift 186 T1;19 January Thursday;19.01.2023;00:00;19.01.2023;23:54
Forklift 186 T1;20 January Friday;20.01.2023;00:00;20.01.2023;23:59
Forklift 186 T1;21 January Saturday;21.01.2023;00:00;21.01.2023;23:54
Forklift 186 T1;22 January Sunday;22.01.2023;00:02;22.01.2023;23:59
Forklift 186 T1;23 January Monday;23.01.2023;00:00;23.01.2023;23:59
Forklift 186 T1;24 January Tuesday;24.01.2023;00:00;24.01.2023;23:57
Forklift 186 T1;25 January Wednesday;25.01.2023;00:04;25.01.2023;23:59
Forklift 186 T1;26 January Thursday;26.01.2023;00:00;26.01.2023;23:02
Forklift 186 T1;27 January Friday;27.01.2023;00:10;27.01.2023;23:59
Forklift 186 T1;28 January Saturday;28.01.2023;00:01;28.01.2023;23:54
Forklift 186 T1;29 January Sunday;29.01.2023;00:03;29.01.2023;23:59
Forklift 186 T1;30 January Monday;30.01.2023;00:00;30.01.2023;23:59
Forklift 186 T1;31 January Tuesday;31.01.2023;00:00;31.01.2023;23:59
Forklift 28 T2;1 February Wednesday;01.02.2023;00:00;01.02.2023;23:59
Forklift 28 T2;2 February Thursday;02.02.2023;00:00;02.02.2023;23:59
Forklift 28 T2;3 February Friday;03.02.2023;00:00;03.02.2023;23:59
Forklift 28 T2;4 February Saturday;04.02.2023;00:01;04.02.2023;23:59
Forklift 28 T2;5 February Sunday;05.02.2023;00:00;05.02.2023;23:59
Forklift 28 T2;6 February Monday;06.02.2023;00:00;06.02.2023;23:59
Forklift 28 T2;7 February Tuesday;07.02.2023;00:00;07.02.2023;23:59
Forklift 28 T2;8 February Wednesday;08.02.2023;00:04;08.02.2023;23:59
Forklift 28 T2;9 February Thursday;09.02.2023;00:00;09.02.2023;23:59
Forklift 28 T2;10 February Friday;10.02.2023;00:00;10.02.2023;23:58
Forklift 28 T2;11 February Saturday;11.02.2023;00:00;11.02.2023;23:58
Forklift 28 T2;12 February Sunday;12.02.2023;00:00;12.02.2023;23:59
Forklift 28 T2;13 February Monday;13.02.2023;00:00;13.02.2023;23:59
Forklift 28 T2;14 February Tuesday;14.02.2023;00:00;14.02.2023;23:45
Forklift 28 T2;15 February Wednesday;15.02.2023;00:22;15.02.2023;23:59
Forklift 28 T2;16 February Thursday;16.02.2023;00:00;16.02.2023;23:54
Forklift 28 T2;17 February Friday;17.02.2023;00:02;17.02.2023;23:59
Forklift 28 T2;18 February Saturday;18.02.2023;00:00;18.02.2023;23:59
Forklift 28 T2;19 February Sunday;19.02.2023;00:00;19.02.2023;23:59
Forklift 28 T2;20 February Monday;20.02.2023;00:00;20.02.2023;23:58
Forklift 28 T2;21 February Tuesday;21.02.2023;00:00;21.02.2023;23:59
Forklift 28 T2;22 February Wednesday;22.02.2023;00:00;22.02.2023;23:53
Forklift 28 T2;23 February Thursday;23.02.2023;00:14;23.02.2023;23:58
Forklift 28 T2;24 February Friday;24.02.2023;00:10;24.02.2023;23:59
Forklift 28 T2;25 February Saturday;25.02.2023;00:00;25.02.2023;23:56
Forklift 28 T2;26 February Sunday;26.02.2023;00:05;26.02.2023;23:59
Forklift 28 T2;27 February Monday;27.02.2023;00:00;27.02.2023;23:59
