tracker;day;work_start_date;work_start_hour;work_finish_date;work_finish_hour
Forklift 107 T6;26 February Sunday;26.02.2023;00:00;26.02.2023;23:54
Forklift 107 T6;27 February Monday;27.02.2023;00:01;27.02.2023;23:59
Forklift 107 T6;28 February Tuesday;28.02.2023;00:00;28.02.2023;23:59
Forklift 125 T4;1 February Wednesday;01.02.2023;00:03;01.02.2023;23:55
Forklift 125 T4;2 February Thursday;02.02.2023;00:01;02.02.2023;23:23
Forklift 125 T4;3 February Friday;03.02.2023;00:00;03.02.2023;23:59
Forklift 125 T4;4 February Saturday;04.02.2023;00:00;04.02.2023;23:58
Forklift 125 T4;5 February Sunday;05.02.2023;00:01;05.02.2023;15:42
Forklift 125 T4;7 February Tuesday;07.02.2023;09:51;07.02.2023;20:14
Forklift 125 T4;9 February Thursday;09.02.2023;11:03;09.02.2023;23:58
Forklift 125 T4;10 February Friday;10.02.2023;00:03;10.02.2023;23:58
Forklift 125 T4;11 February Saturday;11.02.2023;00:02;11.02.2023;23:58
Forklift 125 T4;12 February Sunday;12.02.2023;00:00;12.02.2023;08:47
Forklift 125 T4;14 February Tuesday;14.02.2023;14:04;14.02.2023;14:44
Forklift 125 T4;15 February Wednesday;15.02.2023;08:15;15.02.2023;23:59
Forklift 125 T4;16 February Thursday;16.02.2023;00:00;16.02.2023;23:58
Forklift 125 T4;17 February Friday;17.02.2023;00:00;17.02.2023;23:59
Forklift 125 T4;18 February Saturday;18.02.2023;00:00;18.02.2023;16:00
Forklift 125 T4;20 February Monday;20.02.2023;08:31;20.02.2023;16:49
Forklift 125 T4;21 February Tuesday;21.02.2023;09:59;21.02.2023;23:27
Forklift 125 T4;22 February Wednesday;22.02.2023;08:47;22.02.2023;23:59
Forklift 125 T4;23 February Thursday;23.02.2023;00:04;23.02.2023;23:59
Forklift 125 T4;24 February Friday;24.02.2023;00:00;24.02.2023;23:59
Forklift 125 T4;25 February Saturday;25.02.2023;00:00;25.02.2023;18:40
Forklift 125 T4;26 February Sunday;26.02.2023;00:26;26.02.2023;23:59
Forklift 125 T4;27 February Monday;27.02.2023;00:00;27.02.2023;23:59
Forklift 125 T4;28 February Tuesday;28.02.2023;00:00;28.02.2023;23:41
Forklift 185 T3;1 February Wednesday;01.02.2023;00:00;01.02.2023;23:59
Forklift 185 T3;2 February Thursday;02.02.2023;00:00;02.02.2023;23:58
Forklift 185 T3;3 February Friday;03.02.2023;00:00;03.02.2023;23:59
Forklift 185 T3;4 February Saturday;04.02.2023;00:00;04.02.2023;23:59
Forklift 185 T3;5 February Sunday;05.02.2023;00:00;05.02.2023;23:58
Forklift 185 T3;6 February Monday;06.02.2023;00:00;06.02.2023;23:59
Forklift 185 T3;7 February Tuesday;07.02.2023;00:00;07.02.2023;23:52
Forklift 185 T3;8 February Wednesday;08.02.2023;00:09;08.02.2023;23:59
Forklift 185 T3;9 February Thursday;09.02.2023;00:00;09.02.2023;23:58
Forklift 185 T3;10 February Friday;10.02.2023;00:00;10.02.2023;23:59
Forklift 185 T3;11 February Saturday;11.02.2023;00:00;11.02.2023;23:56
Forklift 185 T3;12 February Sunday;12.02.2023;00:06;12.02.2023;23:59
Forklift 185 T3;13 February Monday;13.02.2023;00:00;13.02.2023;23:53
Forklift 185 T3;14 February Tuesday;14.02.2023;00:00;14.02.2023;23:59
Forklift 185 T3;15 February Wednesday;15.02.2023;00:01;15.02.2023;23:55
Forklift 185 T3;16 February Thursday;16.02.2023;00:00;16.02.2023;23:57
Forklift 185 T3;17 February Friday;17.02.2023;00:01;17.02.2023;23:46
Forklift 185 T3;18 February Saturday;18.02.2023;00:15;18.02.2023;23:59
Forklift 185 T3;19 February Sunday;19.02.2023;00:01;19.02.2023;23:59
Forklift 185 T3;20 February Monday;20.02.2023;00:00;20.02.2023;23:59
Forklift 185 T3;21 February Tuesday;21.02.2023;00:00;21.02.2023;23:53
Forklift 185 T3;22 February Wednesday;22.02.2023;00:18;22.02.2023;23:52
Forklift 185 T3;23 February Thursday;23.02.2023;00:14;23.02.2023;23:52
Forklift 185 T3;24 February Friday;24.02.2023;00:01;24.02.2023;23:54
Forklift 185 T3;25 February Saturday;25.02.2023;00:00;25.02.2023;23:58
Forklift 185 T3;26 February Sunday;26.02.2023;00:05;26.02.2023;23:56
Forklift 185 T3;27 February Monday;27.02.2023;00:05;27.02.2023;23:59
Forklift 185 T3;28 February Tuesday;28.02.2023;00:00;28.02.2023;23:59
Forklift 186 T1;1 February Wednesday;01.02.2023;00:00;01.02.2023;15:14
Forklift 186 T1;2 February Thursday;02.02.2023;04:12;02.02.2023;23:54
Forklift 186 T1;3 February Friday;03.02.2023;00:15;03.02.2023;23:59
Forklift 186 T1;4 February Saturday;04.02.2023;00:00;04.02.2023;23:59
Forklift 186 T1;5 February Sunday;05.02.2023;00:00;05.02.2023;23:59
Forklift 186 T1;6 February Monday;06.02.2023;00:00;06.02.2023;23:59
Forklift 186 T1;7 February Tuesday;07.02.2023;00:00;07.02.2023;23:59
Forklift 186 T1;8 February Wednesday;08.02.2023;00:00;08.02.2023;23:59
Forklift 186 T1;9 February Thursday;09.02.2023;00:00;09.02.2023;23:59
Forklift 186 T1;10 February Friday;10.02.2023;00:00;10.02.2023;23:59
Forklift 186 T1;11 February Saturday;11.02.2023;00:00;11.02.2023;23:59
Forklift 186 T1;12 February Sunday;12.02.2023;00:00;12.02.2023;23:59
Forklift 186 T1;13 February Monday;13.02.2023;00:01;13.02.2023;23:59
Forklift 186 T1;14 February Tuesday;14.02.2023;00:00;14.02.2023;23:59
Forklift 186 T1;15 February Wednesday;15.02.2023;00:00;15.02.2023;23:59
Forklift 186 T1;16 February Thursday;16.02.2023;00:00;16.02.2023;23:59
Forklift 186 T1;17 February Friday;17.02.2023;00:00;17.02.2023;23:59
Forklift 186 T1;18 February Saturday;18.02.2023;00:00;18.02.2023;23:51
Forklift 186 T1;19 February Sunday;19.02.2023;00:12;19.02.2023;23:58
Forklift 186 T1;20 February Monday;20.02.2023;00:02;20.02.2023;23:49
Forklift 186 T1;21 February Tuesday;21.02.2023;00:10;21.02.2023;23:53
Forklift 186 T1;22 February Wednesday;22.02.2023;00:15;22.02.2023;23:58
Forklift 186 T1;23 February Thursday;23.02.2023;00:00;23.02.2023;23:59
Forklift 186 T1;24 February Friday;24.02.2023;00:00;24.02.2023;23:59
Forklift 186 T1;25 February Saturday;25.02.2023;00:00;25.02.2023;23:59
Forklift 186 T1;26 February Sunday;26.02.2023;00:00;26.02.2023;23:49
Forklift 186 T1;27 February Monday;27.02.2023;00:14;27.02.2023;23:59
Forklift 186 T1;28 February Tuesday;28.02.2023;00:00;28.02.2023;23:59
Forklift 28 T2;1 March Wednesday;01.03.2023;00:03;01.03.2023;23:59
Forklift 28 T2;2 March Thursday;02.03.2023;00:00;02.03.2023;23:59
Forklift 28 T2;3 March Friday;03.03.2023;00:00;03.03.2023;23:52
Forklift 28 T2;4 March Saturday;04.03.2023;00:09;04.03.2023;23:59
Forklift 28 T2;5 March Sunday;05.03.2023;00:00;05.03.2023;23:59
Forklift 28 T2;6 March Monday;06.03.2023;00:00;06.03.2023;23:47
Forklift 28 T2;7 March Tuesday;07.03.2023;00:03;07.03.2023;23:58
Forklift 28 T2;8 March Wednesday;08.03.2023;00:14;08.03.2023;23:58
Forklift 28 T2;9 March Thursday;09.03.2023;00:02;09.03.2023;23:59
Forklift 28 T2;10 March Friday;10.03.2023;00:12;10.03.2023;23:59
Forklift 28 T2;11 March Saturday;11.03.2023;00:00;11.03.2023;09:23
Forklift 98 T5;1 March Wednesday;01.03.2023;00:00;01.03.2023;23:59
Forklift 98 T5;2 March Thursday;02.03.2023;00:00;02.03.2023;23:59
Forklift 98 T5;3 March Friday;03.03.2023;00:00;03.03.2023;23:58
Forklift 98 T5;4 March Saturday;04.03.2023;00:00;04.03.2023;23:59
Forklift 98 T5;5 March Sunday;05.03.2023;00:00;05.03.2023;23:48
Forklift 98 T5;6 March Monday;06.03.2023;00:20;06.03.2023;23:59
Forklift 98 T5;7 March Tuesday;07.03.2023;00:00;07.03.2023;23:59
Forklift 98 T5;8 March Wednesday;08.03.2023;00:00;08.03.2023;23:59
Forklift 98 T5;9 March Thursday;09.03.2023;00:00;09.03.2023;23:59
Forklift 98 T5;10 March Friday;10.03.2023;00:00;10.03.2023;23:53
Forklift 98 T5;11 March Saturday;11.03.2023;00:23;11.03.2023;09:26
Forklift 107 T6;1 March Wednesday;01.03.2023;00:00;01.03.2023;23:56
Forklift 107 T6;2 March Thursday;02.03.2023;00:01;02.03.2023;23:59
Forklift 107 T6;3 March Friday;03.03.2023;00:00;03.03.2023;23:59
Forklift 107 T6;4 March Saturday;04.03.2023;00:00;04.03.2023;23:59
Forklift 107 T6;5 March Sunday;05.03.2023;00:02;05.03.2023;23:57
Forklift 107 T6;6 March Monday;06.03.2023;00:10;06.03.2023;23:59
Forklift 107 T6;7 March Tuesday;07.03.2023;00:00;07.03.2023;23:55
Forklift 107 T6;8 March Wednesday;08.03.2023;00:00;08.03.2023;23:53
Forklift 107 T6;9 March Thursday;09.03.2023;00:04;09.03.2023;23:59
Forklift 107 T6;10 March Friday;10.03.2023;00:00;10.03.2023;23:55
Forklift 107 T6;11 March Saturday;11.03.2023;00:04;11.03.2023;09:12
Forklift 125 T4;1 March Wednesday;01.03.2023;00:39;01.03.2023;23:59
Forklift 125 T4;2 March Thursday;02.03.2023;00:00;02.03.2023;17:24
Forklift 125 T4;3 March Friday;03.03.2023;09:51;03.03.2023;14:56
Forklift 125 T4;4 March Saturday;04.03.2023;07:49;04.03.2023;09:32
Forklift 125 T4;6 March Monday;06.03.2023;20:41;06.03.2023;23:59
Forklift 125 T4;7 March Tuesday;07.03.2023;00:00;07.03.2023;07:18
Forklift 125 T4;10 March Friday;10.03.2023;07:45;10.03.2023;15:57
Forklift 125 T4;11 March Saturday;11.03.2023;07:25;11.03.2023;09:18
Forklift 185 T3;1 March Wednesday;01.03.2023;00:01;01.03.2023;23:59
Forklift 185 T3;2 March Thursday;02.03.2023;00:01;02.03.2023;23:52
Forklift 185 T3;3 March Friday;03.03.2023;00:05;03.03.2023;23:53
Forklift 185 T3;4 March Saturday;04.03.2023;00:09;04.03.2023;23:56
Forklift 185 T3;5 March Sunday;05.03.2023;00:04;05.03.2023;23:59
Forklift 185 T3;6 March Monday;06.03.2023;00:00;06.03.2023;23:48
Forklift 185 T3;7 March Tuesday;07.03.2023;00:04;07.03.2023;23:56
Forklift 185 T3;8 March Wednesday;08.03.2023;00:12;08.03.2023;23:23
Forklift 185 T3;9 March Thursday;09.03.2023;00:17;09.03.2023;23:54
Forklift 185 T3;10 March Friday;10.03.2023;00:08;10.03.2023;23:57
Forklift 185 T3;11 March Saturday;11.03.2023;00:00;11.03.2023;23:58
Forklift 185 T3;12 March Sunday;12.03.2023;00:03;12.03.2023;23:59
Forklift 185 T3;13 March Monday;13.03.2023;00:00;13.03.2023;23:59
Forklift 185 T3;14 March Tuesday;14.03.2023;00:00;14.03.2023;23:58
Forklift 185 T3;15 March Wednesday;15.03.2023;00:00;15.03.2023;23:54
Forklift 185 T3;16 March Thursday;16.03.2023;00:05;16.03.2023;23:57
Forklift 185 T3;17 March Friday;17.03.2023;00:02;17.03.2023;23:59
Forklift 185 T3;18 March Saturday;18.03.2023;00:00;18.03.2023;23:58
Forklift 185 T3;19 March Sunday;19.03.2023;00:07;19.03.2023;23:59
Forklift 185 T3;20 March Monday;20.03.2023;00:00;20.03.2023;23:52
Forklift 185 T3;21 March Tuesday;21.03.2023;00:02;21.03.2023;23:54
Forklift 185 T3;22 March Wednesday;22.03.2023;00:08;22.03.2023;16:06
Forklift 185 T3;23 March Thursday;23.03.2023;08:31;23.03.2023;15:55
Forklift 185 T3;24 March Friday;24.03.2023;13:49;24.03.2023;13:50
Forklift 185 T3;25 March Saturday;25.03.2023;08:43;25.03.2023;23:54
Forklift 185 T3;26 March Sunday;26.03.2023;00:07;26.03.2023;23:55
Forklift 185 T3;27 March Monday;27.03.2023;00:06;27.03.2023;23:55
Forklift 185 T3;28 March Tuesday;28.03.2023;00:09;28.03.2023;23:55
Forklift 185 T3;29 March Wednesday;29.03.2023;00:00;29.03.2023;23:58
Forklift 185 T3;30 March Thursday;30.03.2023;00:00;30.03.2023;23:28
Forklift 185 T3;31 March Friday;31.03.2023;00:10;31.03.2023;23:57
Forklift 186 T1;1 March Wednesday;01.03.2023;00:00;01.03.2023;23:59
Forklift 186 T1;2 March Thursday;02.03.2023;00:00;02.03.2023;23:59
Forklift 186 T1;3 March Friday;03.03.2023;00:00;03.03.2023;23:59
Forklift 186 T1;4 March Saturday;04.03.2023;00:00;04.03.2023;23:58
Forklift 186 T1;5 March Sunday;05.03.2023;00:00;05.03.2023;23:59
Forklift 186 T1;6 March Monday;06.03.2023;00:00;06.03.2023;23:49
Forklift 186 T1;7 March Tuesday;07.03.2023;00:11;07.03.2023;23:55
Forklift 186 T1;8 March Wednesday;08.03.2023;00:18;08.03.2023;23:47
Forklift 186 T1;9 March Thursday;09.03.2023;00:09;09.03.2023;23:59
Forklift 186 T1;10 March Friday;10.03.2023;00:00;10.03.2023;23:59
Forklift 186 T1;11 March Saturday;11.03.2023;00:00;11.03.2023;09:33
Forklift 185 T3;1 April Saturday;01.04.2023;00:00;01.04.2023;23:54
Forklift 185 T3;2 April Sunday;02.04.2023;00:12;02.04.2023;21:09
Forklift 185 T3;5 April Wednesday;05.04.2023;09:15;05.04.2023;23:09
Forklift 185 T3;6 April Thursday;06.04.2023;00:17;06.04.2023;23:55
Forklift 185 T3;7 April Friday;07.04.2023;00:04;07.04.2023;23:58
Forklift 185 T3;8 April Saturday;08.04.2023;00:01;08.04.2023;23:57
Forklift 185 T3;9 April Sunday;09.04.2023;00:11;09.04.2023;23:53
Forklift 185 T3;10 April Monday;10.04.2023;00:03;10.04.2023;23:59
Forklift 185 T3;11 April Tuesday;11.04.2023;00:00;11.04.2023;23:58
Forklift 185 T3;12 April Wednesday;12.04.2023;00:03;12.04.2023;23:55
Forklift 185 T3;13 April Thursday;13.04.2023;00:15;13.04.2023;23:58
Forklift 185 T3;14 April Friday;14.04.2023;00:17;14.04.2023;23:57
Forklift 185 T3;15 April Saturday;15.04.2023;00:01;15.04.2023;23:59
Forklift 185 T3;16 April Sunday;16.04.2023;00:04;16.04.2023;23:58
Forklift 185 T3;17 April Monday;17.04.2023;00:09;17.04.2023;23:56
Forklift 185 T3;18 April Tuesday;18.04.2023;00:00;18.04.2023;23:59
Forklift 185 T3;19 April Wednesday;19.04.2023;00:00;19.04.2023;23:55
Forklift 185 T3;20 April Thursday;20.04.2023;00:08;20.04.2023;09:57
Forklift 28 T2;23 May Tuesday;23.05.2023;14:12;23.05.2023;23:57
Forklift 28 T2;24 May Wednesday;24.05.2023;00:01;24.05.2023;23:59
Forklift 28 T2;25 May Thursday;25.05.2023;00:00;25.05.2023;23:59
Forklift 28 T2;26 May Friday;26.05.2023;00:00;26.05.2023;23:55
Forklift 28 T2;27 May Saturday;27.05.2023;00:01;27.05.2023;23:59
Forklift 28 T2;28 May Sunday;28.05.2023;00:00;28.05.2023;23:59
Forklift 28 T2;29 May Monday;29.05.2023;00:00;29.05.2023;23:59
Forklift 28 T2;30 May Tuesday;30.05.2023;00:00;30.05.2023;14:50
Forklift 28 T2;31 May Wednesday;31.05.2023;13:17;31.05.2023;23:59
Forklift 98 T5;16 May Tuesday;16.05.2023;15:56;16.05.2023;23:59
Forklift 98 T5;17 May Wednesday;17.05.2023;00:00;17.05.2023;23:58
Forklift 98 T5;18 May Thursday;18.05.2023;00:00;18.05.2023;23:59
Forklift 98 T5;19 May Friday;19.05.2023;00:00;19.05.2023;23:59
Forklift 98 T5;20 May Saturday;20.05.2023;00:00;20.05.2023;23:59
Forklift 98 T5;21 May Sunday;21.05.2023;00:00;21.05.2023;23:59
Forklift 98 T5;22 May Monday;22.05.2023;00:00;22.05.2023;23:59
Forklift 98 T5;23 May Tuesday;23.05.2023;00:00;23.05.2023;23:59
Forklift 98 T5;24 May Wednesday;24.05.2023;00:00;24.05.2023;23:59
Forklift 98 T5;25 May Thursday;25.05.2023;00:01;25.05.2023;23:59
Forklift 98 T5;26 May Friday;26.05.2023;00:00;26.05.2023;23:59
Forklift 98 T5;27 May Saturday;27.05.2023;00:00;27.05.2023;23:59
Forklift 98 T5;28 May Sunday;28.05.2023;00:00;28.05.2023;23:59
Forklift 98 T5;29 May Monday;29.05.2023;00:00;29.05.2023;23:59
Forklift 98 T5;30 May Tuesday;30.05.2023;00:00;30.05.2023;14:52
Forklift 98 T5;31 May Wednesday;31.05.2023;13:17;31.05.2023;23:59
Forklift 125 T4;23 May Tuesday;23.05.2023;15:06;23.05.2023;23:58
Forklift 125 T4;24 May Wednesday;24.05.2023;00:00;24.05.2023;23:59
Forklift 125 T4;25 May Thursday;25.05.2023;00:00;25.05.2023;23:59
Forklift 125 T4;26 May Friday;26.05.2023;00:01;26.05.2023;23:50
Forklift 125 T4;27 May Saturday;27.05.2023;00:13;27.05.2023;23:51
Forklift 125 T4;28 May Sunday;28.05.2023;00:13;28.05.2023;23:59
Forklift 125 T4;29 May Monday;29.05.2023;00:00;29.05.2023;23:57
Forklift 125 T4;30 May Tuesday;30.05.2023;00:13;30.05.2023;14:51
Forklift 125 T4;31 May Wednesday;31.05.2023;13:17;31.05.2023;23:59
Forklift 185 T3;17 May Wednesday;17.05.2023;10:02;17.05.2023;23:20
Forklift 185 T3;18 May Thursday;18.05.2023;01:04;18.05.2023;23:57
Forklift 185 T3;19 May Friday;19.05.2023;00:00;19.05.2023;19:22
Forklift 185 T3;20 May Saturday;20.05.2023;04:09;20.05.2023;23:53
Forklift 185 T3;21 May Sunday;21.05.2023;00:02;21.05.2023;23:59
Forklift 185 T3;22 May Monday;22.05.2023;00:02;22.05.2023;23:59
Forklift 185 T3;23 May Tuesday;23.05.2023;00:00;23.05.2023;23:58
Forklift 185 T3;24 May Wednesday;24.05.2023;00:08;24.05.2023;23:59
Forklift 185 T3;25 May Thursday;25.05.2023;00:01;25.05.2023;23:59
Forklift 185 T3;26 May Friday;26.05.2023;00:01;26.05.2023;23:43
Forklift 185 T3;27 May Saturday;27.05.2023;00:00;27.05.2023;23:39
Forklift 185 T3;28 May Sunday;28.05.2023;01:34;28.05.2023;23:47
Forklift 185 T3;29 May Monday;29.05.2023;00:07;29.05.2023;23:52
Forklift 185 T3;30 May Tuesday;30.05.2023;00:16;30.05.2023;14:48
Forklift 185 T3;31 May Wednesday;31.05.2023;13:18;31.05.2023;23:33
Forklift 186 T1;16 May Tuesday;16.05.2023;15:54;16.05.2023;23:59
Forklift 186 T1;17 May Wednesday;17.05.2023;00:00;17.05.2023;23:59
Forklift 186 T1;18 May Thursday;18.05.2023;00:00;18.05.2023;23:59
Forklift 186 T1;19 May Friday;19.05.2023;00:00;19.05.2023;23:59
Forklift 186 T1;20 May Saturday;20.05.2023;00:00;20.05.2023;23:59
Forklift 186 T1;21 May Sunday;21.05.2023;00:00;21.05.2023;23:59
Forklift 186 T1;22 May Monday;22.05.2023;00:00;22.05.2023;23:59
Forklift 186 T1;23 May Tuesday;23.05.2023;00:00;23.05.2023;23:58
Forklift 186 T1;24 May Wednesday;24.05.2023;00:00;24.05.2023;23:59
Forklift 186 T1;25 May Thursday;25.05.2023;00:00;25.05.2023;23:59
Forklift 186 T1;26 May Friday;26.05.2023;00:00;26.05.2023;23:59
Forklift 186 T1;27 May Saturday;27.05.2023;00:00;27.05.2023;23:59
Forklift 186 T1;28 May Sunday;28.05.2023;00:00;28.05.2023;23:59
Forklift 186 T1;29 May Monday;29.05.2023;00:00;29.05.2023;23:59
Forklift 186 T1;30 May Tuesday;30.05.2023;00:00;30.05.2023;14:42
Forklift 186 T1;31 May Wednesday;31.05.2023;13:17;31.05.2023;23:59
Forklift 28 T2;1 June Thursday;01.06.2023;00:01;01.06.2023;23:59
Forklift 28 T2;2 June Friday;02.06.2023;00:00;02.06.2023;23:59
Forklift 28 T2;3 June Saturday;03.06.2023;00:00;03.06.2023;23:59
Forklift 28 T2;4 June Sunday;04.06.2023;00:00;04.06.2023;23:59
Forklift 28 T2;5 June Monday;05.06.2023;00:06;05.06.2023;23:59
Forklift 28 T2;6 June Tuesday;06.06.2023;00:00;06.06.2023;23:59
Forklift 28 T2;7 June Wednesday;07.06.2023;00:00;07.06.2023;23:59
Forklift 28 T2;8 June Thursday;08.06.2023;00:00;08.06.2023;23:59
Forklift 28 T2;9 June Friday;09.06.2023;00:00;09.06.2023;23:56
Forklift 28 T2;10 June Saturday;10.06.2023;00:01;10.06.2023;23:59
Forklift 28 T2;11 June Sunday;11.06.2023;00:00;11.06.2023;23:58
Forklift 28 T2;12 June Monday;12.06.2023;00:00;12.06.2023;23:57
Forklift 28 T2;13 June Tuesday;13.06.2023;00:06;13.06.2023;23:58
Forklift 28 T2;14 June Wednesday;14.06.2023;00:07;14.06.2023;23:55
Forklift 28 T2;15 June Thursday;15.06.2023;00:03;15.06.2023;23:59
Forklift 28 T2;16 June Friday;16.06.2023;00:00;16.06.2023;23:54
Forklift 28 T2;17 June Saturday;17.06.2023;00:01;17.06.2023;23:56
Forklift 28 T2;18 June Sunday;18.06.2023;00:07;18.06.2023;23:59
Forklift 28 T2;19 June Monday;19.06.2023;00:00;19.06.2023;23:59
Forklift 28 T2;20 June Tuesday;20.06.2023;00:00;20.06.2023;23:59
Forklift 28 T2;21 June Wednesday;21.06.2023;00:00;21.06.2023;23:59
Forklift 28 T2;22 June Thursday;22.06.2023;00:00;22.06.2023;23:59
Forklift 28 T2;23 June Friday;23.06.2023;00:00;23.06.2023;23:59
Forklift 28 T2;24 June Saturday;24.06.2023;00:00;24.06.2023;23:59
Forklift 28 T2;25 June Sunday;25.06.2023;00:01;25.06.2023;23:59
Forklift 28 T2;26 June Monday;26.06.2023;00:01;26.06.2023;16:45
Forklift 98 T5;1 June Thursday;01.06.2023;00:00;01.06.2023;23:59
Forklift 98 T5;2 June Friday;02.06.2023;00:01;02.06.2023;23:59
Forklift 98 T5;3 June Saturday;03.06.2023;00:00;03.06.2023;23:59
Forklift 98 T5;4 June Sunday;04.06.2023;00:00;04.06.2023;23:59
Forklift 98 T5;5 June Monday;05.06.2023;00:00;05.06.2023;23:59
Forklift 98 T5;6 June Tuesday;06.06.2023;00:00;06.06.2023;23:59
Forklift 98 T5;7 June Wednesday;07.06.2023;00:01;07.06.2023;23:59
Forklift 98 T5;8 June Thursday;08.06.2023;00:00;08.06.2023;23:59
Forklift 98 T5;9 June Friday;09.06.2023;00:00;09.06.2023;23:59
Forklift 98 T5;10 June Saturday;10.06.2023;00:00;10.06.2023;23:59
Forklift 98 T5;11 June Sunday;11.06.2023;00:00;11.06.2023;23:59
Forklift 98 T5;12 June Monday;12.06.2023;00:00;12.06.2023;23:48
Forklift 98 T5;13 June Tuesday;13.06.2023;00:04;13.06.2023;23:59
Forklift 98 T5;14 June Wednesday;14.06.2023;00:00;14.06.2023;23:59
Forklift 98 T5;15 June Thursday;15.06.2023;00:00;15.06.2023;22:00
Forklift 98 T5;16 June Friday;16.06.2023;15:25;16.06.2023;23:59
Forklift 98 T5;17 June Saturday;17.06.2023;00:00;17.06.2023;23:59
Forklift 98 T5;18 June Sunday;18.06.2023;00:00;18.06.2023;23:59
Forklift 98 T5;19 June Monday;19.06.2023;00:00;19.06.2023;23:59
Forklift 98 T5;20 June Tuesday;20.06.2023;00:00;20.06.2023;23:59
Forklift 98 T5;21 June Wednesday;21.06.2023;00:00;21.06.2023;23:59
Forklift 98 T5;22 June Thursday;22.06.2023;00:00;22.06.2023;23:50
Forklift 98 T5;23 June Friday;23.06.2023;01:37;23.06.2023;23:59
Forklift 98 T5;24 June Saturday;24.06.2023;00:00;24.06.2023;23:59
Forklift 98 T5;25 June Sunday;25.06.2023;00:00;25.06.2023;23:59
Forklift 98 T5;26 June Monday;26.06.2023;00:00;26.06.2023;23:55
Forklift 98 T5;30 June Friday;30.06.2023;00:38;30.06.2023;23:59
Forklift 125 T4;1 June Thursday;01.06.2023;00:00;01.06.2023;23:59
Forklift 125 T4;2 June Friday;02.06.2023;00:00;02.06.2023;23:54
Forklift 125 T4;3 June Saturday;03.06.2023;00:00;03.06.2023;23:59
Forklift 125 T4;4 June Sunday;04.06.2023;00:00;04.06.2023;23:59
Forklift 125 T4;5 June Monday;05.06.2023;00:00;05.06.2023;23:59
Forklift 125 T4;6 June Tuesday;06.06.2023;00:00;06.06.2023;23:59
Forklift 125 T4;7 June Wednesday;07.06.2023;00:00;07.06.2023;23:59
Forklift 125 T4;8 June Thursday;08.06.2023;00:00;08.06.2023;23:59
Forklift 125 T4;9 June Friday;09.06.2023;00:05;09.06.2023;23:59
Forklift 125 T4;10 June Saturday;10.06.2023;00:00;10.06.2023;23:59
Forklift 125 T4;11 June Sunday;11.06.2023;00:00;11.06.2023;23:59
Forklift 125 T4;12 June Monday;12.06.2023;00:00;12.06.2023;23:59
Forklift 125 T4;13 June Tuesday;13.06.2023;00:00;13.06.2023;23:59
Forklift 125 T4;14 June Wednesday;14.06.2023;00:00;14.06.2023;23:59
Forklift 125 T4;15 June Thursday;15.06.2023;00:00;15.06.2023;23:59
Forklift 125 T4;16 June Friday;16.06.2023;00:01;16.06.2023;23:58
Forklift 125 T4;17 June Saturday;17.06.2023;00:00;17.06.2023;23:55
Forklift 125 T4;18 June Sunday;18.06.2023;00:17;18.06.2023;23:57
Forklift 125 T4;19 June Monday;19.06.2023;00:02;19.06.2023;23:59
Forklift 125 T4;20 June Tuesday;20.06.2023;00:01;20.06.2023;23:59
Forklift 125 T4;21 June Wednesday;21.06.2023;00:00;21.06.2023;23:58
Forklift 125 T4;22 June Thursday;22.06.2023;00:08;22.06.2023;23:59
Forklift 125 T4;23 June Friday;23.06.2023;00:00;23.06.2023;23:59
Forklift 125 T4;24 June Saturday;24.06.2023;00:00;24.06.2023;23:59
Forklift 125 T4;25 June Sunday;25.06.2023;00:00;25.06.2023;23:58
Forklift 125 T4;26 June Monday;26.06.2023;00:02;26.06.2023;23:58
Forklift 125 T4;27 June Tuesday;27.06.2023;00:02;27.06.2023;00:19
Forklift 125 T4;30 June Friday;30.06.2023;00:23;30.06.2023;23:59
Forklift 185 T3;1 June Thursday;01.06.2023;02:08;01.06.2023;23:57
Forklift 185 T3;2 June Friday;02.06.2023;00:00;02.06.2023;23:59
Forklift 185 T3;3 June Saturday;03.06.2023;00:21;03.06.2023;22:01
Forklift 185 T3;4 June Sunday;04.06.2023;00:14;04.06.2023;23:59
Forklift 185 T3;5 June Monday;05.06.2023;00:00;05.06.2023;23:59
Forklift 185 T3;6 June Tuesday;06.06.2023;00:02;06.06.2023;23:58
Forklift 185 T3;7 June Wednesday;07.06.2023;00:04;07.06.2023;23:55
Forklift 185 T3;8 June Thursday;08.06.2023;00:20;08.06.2023;23:58
Forklift 185 T3;9 June Friday;09.06.2023;00:11;09.06.2023;23:57
Forklift 185 T3;10 June Saturday;10.06.2023;00:01;10.06.2023;23:56
Forklift 185 T3;11 June Sunday;11.06.2023;00:13;11.06.2023;23:56
Forklift 185 T3;12 June Monday;12.06.2023;00:03;12.06.2023;23:51
Forklift 185 T3;13 June Tuesday;13.06.2023;00:01;13.06.2023;23:59
Forklift 185 T3;14 June Wednesday;14.06.2023;00:00;14.06.2023;23:55
Forklift 185 T3;15 June Thursday;15.06.2023;00:04;15.06.2023;23:52
Forklift 185 T3;16 June Friday;16.06.2023;00:01;16.06.2023;23:55
Forklift 185 T3;17 June Saturday;17.06.2023;00:12;17.06.2023;23:49
Forklift 185 T3;18 June Sunday;18.06.2023;00:50;18.06.2023;23:59
Forklift 185 T3;19 June Monday;19.06.2023;00:00;19.06.2023;23:26
